,Brand,Owner,kilometers,Fuel,Transmission,Model,Price
1347,2018 Maruti Celerio X,1st Owner,"46,829 km",Petrol,Automatic,ZXI OPT AMT Automatic,"₹4,80,899"
1348,2019 Maruti Alto K10,1st Owner,"32,787 km",Petrol,Manual,VXI Manual,"₹3,91,499"
1349,2017 Maruti IGNIS,1st Owner,"15,302 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,47,699"
1350,2020 Maruti Vitara Brezza,1st Owner,"20,024 km",Petrol,Automatic,ZXI AT SHVS Automatic,"₹10,54,299"
1351,2020 Maruti Vitara Brezza,1st Owner,"17,465 km",Diesel,Automatic,ZDI + AMT Automatic,"₹11,71,899"
1352,2013 Volkswagen Vento,1st Owner,"75,030 km",Diesel,Manual,HIGHLINE DIESEL Manual,"₹3,74,499"
1353,2015 Hyundai Elite i20,1st Owner,"34,212 km",Diesel,Manual,MAGNA 1.4 CRDI Manual,"₹5,40,999"
1354,2013 Hyundai i20,1st Owner,"43,949 km",Petrol,Manual,SPORTZ 1.2 VTVT Manual,"₹3,96,399"
1355,2016 Hyundai Creta,1st Owner,"55,835 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹9,48,299"
1356,2014 Audi Q3,1st Owner,"66,027 km",Diesel,Manual,2.0 TDI MT S EDITION Manual,"₹13,19,499"
1357,2014 Ford Ecosport,1st Owner,"1,22,729 km",Diesel,Manual,1.5 TREND TDCI Manual,"₹4,65,699"
1358,2019 Hyundai VENUE,1st Owner,"31,118 km",Petrol,Manual,S MT Turbo GDI 1.0L Manual,"₹8,88,899"
1359,2019 Hyundai GRAND I10 NIOS,1st Owner,"5,906 km",Petrol,Manual,Asta Petrol Manual,"₹6,68,099"
1360,2017 Maruti Dzire,1st Owner,"91,724 km",Diesel,Manual,VDI Manual,"₹5,85,999"
1361,2015 Hyundai Creta,1st Owner,"24,768 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,86,899"
1362,2015 Hyundai Creta,1st Owner,"1,14,245 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,27,299"
1363,2015 Hyundai Creta,1st Owner,"58,003 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹8,26,899"
1364,2014 Ford Ecosport,1st Owner,"1,27,254 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹4,27,399"
1365,2016 Maruti Baleno,2nd Owner,"32,766 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,56,999"
1366,2014 Ford Ecosport,2nd Owner,"59,522 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹4,66,799"
1367,2015 Hyundai Elite i20,2nd Owner,"59,080 km",Petrol,Manual,SPORTZ 1.2 Manual,"₹4,69,399"
1368,2014 Hyundai Elite i20,1st Owner,"72,861 km",Diesel,Manual,SPORTZ (O) 1.4 Manual,"₹5,05,699"
1369,2016 Maruti Baleno,1st Owner,"67,332 km",Diesel,Manual,ALPHA DDIS 190 Manual,"₹6,19,199"
1370,2013 Honda Amaze,2nd Owner,"1,09,366 km",Diesel,Manual,1.5 VXMT I DTEC Manual,"₹2,94,799"
1371,2013 Toyota Innova,2nd Owner,"1,21,060 km",Diesel,Manual,2.5 GX 7 STR BS IV Manual,"₹6,80,299"
1372,2016 Maruti Baleno,1st Owner,"53,256 km",Petrol,Automatic,ZETA 1.2 K12 CVT Automatic,"₹5,60,999"
1373,2014 Toyota Innova,1st Owner,"69,958 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,59,099"
1374,2014 Ford Ecosport,2nd Owner,"50,683 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹4,93,899"
1375,2016 Maruti Vitara Brezza,1st Owner,"30,116 km",Diesel,Manual,VDI Manual,"₹6,12,699"
1376,2016 Maruti Baleno,1st Owner,"80,392 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,22,999"
1377,2013 Maruti Ertiga,1st Owner,"1,12,745 km",Diesel,Manual,VDI ABS Manual,"₹4,59,999"
1378,2016 Tata Tiago,1st Owner,"31,278 km",Petrol,Manual,XZ 1.2 REVOTRON Manual,"₹4,27,099"
1379,2016 Maruti Baleno,1st Owner,"82,394 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹4,93,399"
1380,2013 Hyundai Grand i10,1st Owner,"22,044 km",Petrol,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,06,599"
1381,2014 Hyundai Grand i10,1st Owner,"28,692 km",Petrol,Manual,SPORTS 1.2 VTVT Manual,"₹4,30,699"
1382,2016 Maruti Baleno,1st Owner,"63,363 km",Diesel,Manual,DELTA DDIS 190 Manual,"₹5,42,899"
1383,2016 Maruti Vitara Brezza,1st Owner,"59,773 km",Diesel,Manual,VDI OPT Manual,"₹6,66,399"
1384,2016 Maruti Vitara Brezza,1st Owner,"1,01,529 km",Diesel,Manual,ZDI Manual,"₹6,55,999"
1385,2014 Maruti Ciaz,1st Owner,"62,366 km",Diesel,Manual,VDI PLUS Manual,"₹5,15,399"
1386,2019 Hyundai VENUE,1st Owner,"7,510 km",Petrol,Automatic,1.0 TURBO GDI SX+ AT Automatic,"₹10,32,099"
1387,2015 Hyundai i10,1st Owner,"61,140 km",Petrol,Manual,SPORTZ 1.1 IRDE2 Manual,"₹3,37,199"
1388,2014 Maruti Ciaz,1st Owner,"1,13,158 km",Diesel,Manual,VDI PLUS Manual,"₹5,00,599"
1389,2018 Maruti IGNIS,1st Owner,"17,318 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹4,93,799"
1390,2013 Toyota Fortuner,1st Owner,"74,189 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹13,59,099"
1391,2016 Maruti Vitara Brezza,1st Owner,"34,879 km",Diesel,Manual,ZDI PLUS Manual,"₹7,20,599"
1392,2016 Maruti Vitara Brezza,1st Owner,"65,443 km",Diesel,Manual,ZDI Manual,"₹7,18,099"
1393,2013 Honda Brio,1st Owner,"27,915 km",Petrol,Automatic,1.2 VX AT I VTEC Automatic,"₹3,95,899"
1394,2017 Maruti Ciaz,2nd Owner,"66,396 km",Diesel,Manual,DELTA 1.3 DDIS SHVS Manual,"₹5,90,399"
1395,2016 Ford Ecosport,1st Owner,"7,789 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,33,799"
1396,2014 Toyota Innova,1st Owner,"1,10,827 km",Diesel,Manual,2.5 VX 7 STR BS IV Manual,"₹8,11,199"
1397,2018 Hyundai Elite i20,1st Owner,"15,022 km",Petrol,Manual,Magna Executive 1.2 Manual,"₹5,76,499"
1398,2013 Maruti Swift Dzire,1st Owner,"31,505 km",Petrol,Manual,VXI 1.2 BS IV Manual,"₹4,19,199"
1399,2014 Maruti Ertiga,2nd Owner,"94,820 km",Diesel,Manual,ZDI Manual,"₹5,26,599"
1400,2015 Honda Jazz,1st Owner,"34,295 km",Petrol,Automatic,1.2 V AT Automatic,"₹5,82,099"
1401,2017 Hyundai Elite i20,1st Owner,"32,515 km",Petrol,Manual,Magna Executive 1.2 Manual,"₹5,49,299"
1402,2016 Ford Ecosport,1st Owner,"22,197 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,25,999"
1403,2017 Hyundai Verna,1st Owner,"43,938 km",Diesel,Automatic,1.6 CRDI SX + AT Automatic,"₹9,77,399"
1404,2012 Maruti Swift,2nd Owner,"68,206 km",Diesel,Manual,VDI Manual,"₹2,82,099"
1405,2018 Honda Amaze,1st Owner,"14,259 km",Petrol,Automatic,1.2 V CVT I VTEC Automatic,"₹7,16,699"
1406,2015 Honda Jazz,1st Owner,"44,142 km",Petrol,Manual,1.2 S I VTEC Manual,"₹4,87,299"
1407,2013 Toyota Fortuner,2nd Owner,"1,17,460 km",Diesel,Manual,3.0 MT 4X2 Manual,"₹12,09,899"
1408,2014 Maruti Ertiga,1st Owner,"1,46,493 km",Diesel,Manual,VDI ABS Manual,"₹4,96,799"
1409,2013 Hyundai Grand i10,1st Owner,"63,184 km",Diesel,Manual,MAGNA 1.1 CRDI Manual,"₹2,95,399"
1410,2019 Ford Figo Aspire,1st Owner,"10,063 km",Petrol,Manual,1.2 TITANIUM+ PETROL Manual,"₹6,43,199"
1411,2017 Maruti Ciaz,1st Owner,"82,599 km",Diesel,Manual,VDI+ SHVS Manual,"₹6,06,499"
1412,2018 Hyundai Elite i20,2nd Owner,"74,782 km",Diesel,Manual,ASTA 1.4 CRDI Manual,"₹6,72,999"
